2019-07-02 14:45:54.485 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.DemoApplicationTests], using SpringBootContextLoader
2019-07-02 14:45:54.491 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.DemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-07-02 14:45:54.492 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-07-02 14:45:54.634 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2019-07-02 14:45:54.809 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-07-02 14:45:54.830 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7c711375, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@57cf54e1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5b03b9fe, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@37d4349f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@434a63ab, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6e0f5f7f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2805d709, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3ee37e5a, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ea41516, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3a44431a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3c7f66c4, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@194bcebf]
2019-07-02 14:45:55.280 [main] INFO  com.example.demo.DemoApplicationTests - Starting DemoApplicationTests on SST-OCHO with PID 3872 (started by yxie in C:\MrX\springbootDemo\first\demo)
2019-07-02 14:45:55.280 [main] INFO  com.example.demo.DemoApplicationTests - The following profiles are active: dev
2019-07-02 14:45:56.132 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-07-02 14:45:56.137 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-07-02 14:45:56.181 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24ms. Found 0 repository interfaces.
2019-07-02 14:45:56.699 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a0648231] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-02 14:45:57.302 [main] ERROR com.example.demo.config.TestProfileAnnotation - TestProfileAnnotation------------------------
